Air_temperature,Global_solar_radiation,Precipitation,Wind_speed,Wind_direction,Load_condition,Transformer_temperature
0.6,25.0,0.0,6.0,40.0,459.505523682,52.875
0.8,4.0,0.2,5.0,40.0,470.388793945,53.8125
0.6,0.0,0.0,6.0,40.0,464.541534424,54.0
0.6,0.0,0.0,6.0,40.0,414.129364014,52.3125
0.2,0.0,0.0,7.0,30.0,393.192077637,49.5
0.2,0.0,0.0,6.0,30.0,395.919128418,48.0
0.2,0.0,0.0,6.0,30.0,402.453887939,47.625
0.3,0.0,0.0,5.0,30.0,398.897399902,47.4375
0.3,0.0,0.0,5.0,20.0,369.027954102,45.9375
0.1,0.0,0.0,5.0,20.0,335.482971191,43.125
-0.2,0.0,0.0,6.0,20.0,301.548095703,40.3125
-0.2,0.0,0.0,6.0,30.0,292.599487305,37.875
-0.4,0.0,0.0,5.0,30.0,274.963775635,35.8125
-0.6,0.0,0.0,6.0,30.0,273.610137939,34.6875
-0.6,0.0,0.0,6.0,30.0,278.217681885,33.75
-0.7,0.0,0.0,6.0,30.0,301.419158936,33.5625
-0.8,0.0,0.0,6.0,30.0,360.132354736,34.5
-0.9,8.0,0.0,4.0,20.0,404.7472229,38.625
-0.9,93.0,0.0,4.0,360.0,402.169891357,40.6875
-0.6,190.0,0.0,4.0,360.0,410.656860352,42.1875
-0.3,218.0,0.0,3.0,360.0,396.013336182,42.9375
0.0,187.0,0.0,3.0,360.0,391.890441895,43.3125
0.1,136.0,0.2,3.0,350.0,402.880737305,43.6875
0.2,130.0,0.4,3.0,360.0,433.126800537,45.375
0.0,61.0,0.2,3.0,350.0,420.717407227,47.4375
0.1,11.0,0.2,3.0,350.0,473.880249023,49.875
0.1,0.0,0.2,2.0,340.0,475.422912598,52.875
0.0,0.0,0.0,2.0,350.0,450.375274658,53.625
0.0,0.0,0.0,2.0,340.0,428.958129883,53.8125
-0.1,0.0,0.0,2.0,340.0,402.779418945,51.375
-0.2,0.0,0.0,1.0,330.0,428.157836914,52.3125
-0.2,0.0,0.0,1.0,290.0,407.915802002,52.6875
-0.2,0.0,0.0,1.0,280.0,368.936401367,50.4375
-0.3,0.0,0.0,1.0,260.0,350.28616333,48.0
-0.3,0.0,0.0,1.0,250.0,326.288299561,45.375
-0.3,0.0,0.0,1.0,210.0,314.821380615,42.9375
-0.3,0.0,0.0,2.0,200.0,308.583587646,41.4375
-0.3,0.0,0.0,1.0,210.0,335.608123779,41.4375
-0.4,0.0,0.0,2.0,200.0,394.321502686,42.375
-0.4,0.0,0.0,1.0,190.0,426.318267822,45.375
-0.5,0.0,0.2,1.0,190.0,463.872955322,50.8125
-0.2,5.0,0.0,2.0,200.0,484.132995605,54.1875
-0.2,44.0,0.0,2.0,190.0,487.534057617,56.625
-1.8,0.0,0.0,1.0,120.0,407.438659668,52.875
-2.9,0.0,0.0,1.0,240.0,385.626525879,49.3125
-3.5,0.0,0.0,1.0,100.0,358.88772583,46.3125
-3.2,0.0,0.0,1.0,50.0,346.421447754,43.875
-1.7,0.0,0.0,1.0,110.0,342.48916626,42.0
-2.1,0.0,0.0,1.0,40.0,373.530975342,42.0
-1.1,0.0,0.0,3.0,70.0,410.2762146,43.125
-0.6,0.0,0.0,3.0,90.0,429.455047607,44.625
-0.6,2.0,0.0,4.0,90.0,444.69442749,47.4375
-0.1,37.0,0.0,4.0,70.0,455.499816895,49.875
0.4,146.0,0.0,4.0,80.0,477.264343262,52.5
1.6,311.0,0.0,5.0,80.0,471.417816162,54.9375
2.3,368.0,0.2,5.0,80.0,451.099365234,54.75
2.7,431.0,0.0,6.0,80.0,442.021270752,54.75
2.9,369.0,0.0,6.0,80.0,434.55480957,54.1875
2.9,223.0,0.4,7.0,80.0,444.300720215,53.4375
3.1,89.0,0.4,8.0,80.0,433.913879395,52.6875
2.9,9.0,0.2,9.0,80.0,436.380706787,52.3125
3.1,0.0,0.0,9.0,80.0,442.120697021,52.3125
2.9,0.0,0.2,8.0,90.0,442.134368896,52.5
2.8,0.0,0.0,9.0,90.0,387.736328125,51.375
3.0,0.0,0.2,9.0,90.0,413.848175049,50.8125
3.3,0.0,0.0,9.0,80.0,406.81930542,49.125
3.3,0.0,0.2,10.0,80.0,369.196777344,48.1875
3.2,0.0,0.2,8.0,80.0,362.079498291,45.75
3.0,0.0,0.0,7.0,70.0,351.080932617,43.875
2.7,0.0,0.2,7.0,60.0,319.582244873,41.625
2.5,0.0,0.0,5.0,50.0,300.328582764,39.375
2.5,0.0,0.2,6.0,60.0,297.894317627,37.6875
2.3,0.0,0.0,6.0,50.0,328.110107422,37.125
2.2,0.0,0.0,6.0,60.0,387.82244873,38.8125
2.0,0.0,0.0,5.0,50.0,397.119018555,41.8125
1.9,0.0,0.0,5.0,60.0,428.268676758,44.625
2.0,35.0,0.0,4.0,50.0,412.600372314,45.1875
2.2,156.0,0.2,5.0,50.0,418.259033203,46.125
2.3,355.0,0.0,5.0,50.0,424.072967529,47.4375
2.3,274.0,0.0,4.0,50.0,418.087615967,48.0
2.5,179.0,0.0,4.0,60.0,416.355102539,48.5625
2.6,230.0,0.2,5.0,70.0,419.21987915,48.75
2.8,244.0,0.0,6.0,90.0,391.090209961,48.375
2.9,98.0,0.0,7.0,90.0,399.388702393,48.375
2.3,15.0,0.2,8.0,90.0,399.470855713,47.0625
2.3,0.0,0.0,6.0,90.0,401.864807129,47.25
2.4,0.0,0.0,8.0,80.0,378.845397949,47.4375
2.4,0.0,0.0,7.0,90.0,372.190002441,46.3125
2.5,0.0,0.0,8.0,90.0,369.209472656,45.375
2.7,0.0,0.0,8.0,90.0,405.792541504,45.1875
2.4,0.0,0.0,8.0,90.0,343.304260254,44.625
1.9,0.0,0.0,7.0,90.0,319.890716553,42.75
1.5,0.0,0.0,8.0,80.0,301.291503906,41.0625
1.6,0.0,0.0,6.0,90.0,276.317871094,39.0
1.6,0.0,0.0,4.0,60.0,273.350158691,37.5
1.6,0.0,0.2,3.0,30.0,267.369262695,36.1875
1.8,0.0,0.0,3.0,40.0,278.245056152,35.625
1.9,0.0,0.0,3.0,40.0,324.118988037,36.0
1.8,0.0,0.0,4.0,40.0,367.638153076,37.875
2.0,0.0,0.0,4.0,40.0,395.798248291,40.875
2.0,22.0,0.0,4.0,40.0,405.087280273,42.9375
2.1,75.0,0.0,4.0,40.0,406.187011719,43.3125
